internship_title,company_name,location,start_date,duration,stipend,Skills,gender
Java Development,SunbaseData,Work From Home,Immediately,6 Months,"₹ 30,000 /month","Java, Spring Boot, Hibernate, SQL/NoSQL, Maven/Gradle, Git, Microservices",ANY
Accounting and Finance,DAKSM & Co. LLP,Noida,Immediately,6 Months,"₹ 5,000-10,000 /month","Tally, QuickBooks, Advanced Excel, Financial modeling, SAP",ANY
Sales & Digital Marketing,Bharat Natural Elements Private Limited,Bangalore,Immediately,6 Months,"₹ 5,000 /month","CRM, Google Analytics, Google Ads, SEO, Social media marketing, Sales techniques",Female
Social Entrepreneurship,Hamari Pahchan NGO,Work From Home,Immediately,6 Months,Unpaid,"Business Model Canvas, Lean startup principles, Grant writing, Social media, Crowdfunding platforms",Female
Videography & Photography,Esquare Lifestyle,Bangalore,Immediately,6 Months,"₹ 12,000 /month","DSLR/Mirrorless Cameras, Lenses, Gimbals, Drones, Lighting Equipment, Audio Recorders, Adobe Premiere Pro, Lightroom, Photoshop",ANY
English Curriculum Writing,Team Everest,Work From Home,Immediately,6 Months,Unpaid,"Instructional design, Curriculum frameworks, MS Word, English pedagogy",ANY
Search Engine Optimization (SEO),Global Trend,Work From Home,Immediately,6 Months,"₹ 5,000 /month","SEMrush/Ahrefs, Google Analytics, Search Console, Screaming Frog, Technical/On-page/Off-page SEO",ANY
Digital Dreamweaver: Internship Odyssey In Graphic Design,Global Trend,Work From Home,Immediately,6 Months,"₹ 7,000 /month","Adobe Creative Suite, Figma, Design principles, Creative thinking",ANY
Graphic Design,Expedify,Work From Home,Immediately,6 Months,"₹ 10,000-15,000 /month","Adobe Photoshop, Illustrator, InDesign, Figma, Typography, Color theory",Female
Campus Ambassador,Internshala,Work From Home,Not specified,6 Months,₹2000,"Social media, Public speaking, Networking, Event promotion",ANY
Customer Support Management,ClearTax,Bangalore,Immediately,6 Months,"₹ 30,000 /month","Zendesk/Freshdesk, CRM, SLA management, Team leadership, Reporting",ANY
Bilingual Content Writing,Aam Aadmi Party,Delhi,Immediately,6 Months,Unpaid,"Language proficiency (e.g., English/Hindi), SEO, WordPress, Translation tools",ANY
Office Operations,Aam Aadmi Party,Delhi,Immediately,6 Months,Unpaid,"Microsoft Office Suite, Google Workspace, Project Management Tools (Trello, Asana), Communication Tools (Slack), Calendar Management",ANY
Design,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,Immediately,6 Months,"₹ 10,000 /month","Figma/Sketch (UI/UX), Adobe Creative Suite (Graphic), AutoCAD/SolidWorks (Product)",ANY
Copywriting,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,Immediately,6 Months,"₹ 10,000 /month","AIDA, PAS frameworks, SEO, WordPress, Headline writing, Storytelling",ANY
Social Media And Influencer Marketing,Hungama Digital Media Entertainment Private Limited,Mumbai,Immediately,6 Months,"₹ 5,000 /month","Influencer outreach tools, Social media platforms, Analytics tools, Canva, Contract basics",ANY
Customer Success,ClearTax,Bangalore,Immediately,6 Months,"₹ 20,000 /month","CRM, Helpdesk software, Product analytics tools (Mixpanel), Communication platforms",ANY
Instagram/TikTok Reel Creation,Across The Globe (ATG),Work From Home,Immediately,6 Months,"₹ 1,500-2,500 /month","Video editing apps (CapCut, InShot), Trend analysis, Canva",ANY
Corporate Sales,Across The Globe (ATG),Work From Home,Immediately,6 Months,"₹ 2,000-2,500 /month","CRM (Salesforce, HubSpot), LinkedIn Sales Navigator, Microsoft Office Suite, Presentation Skills, Proposal Writing Software",ANY
Affiliate Marketing,Across The Globe (ATG),Work From Home,Immediately,6 Months,"₹ 2,000-2,500 /month","Affiliate networks, Link tracking, SEO/PPC, Content creation, Analytics",Female
Product Management,Saregama India Limited,Mumbai,Immediately,6 Months,"₹ 5,000-10,000 /month","Jira, Confluence, Figma, Product analytics (Mixpanel), SQL, A/B testing, Roadmapping",ANY
Influencer Marketing,Subhansh Sewa Trust,Work From Home,Immediately,6 Months,Unpaid,"Influencer platforms, Instagram/YouTube, CRM, Contract negotiation, Campaign analysis",ANY
Media And Public Relations (PR),Subhansh Sewa Trust,Work From Home,Immediately,6 Months,Unpaid,"Cision/Meltwater, Social media, Press release writing, Media outreach",ANY
